下料 vn
单轴
多轴 n
多刀半自动车床 n
三角形螺纹 n
圆柱螺纹 n
三角螺纹 n
圆弧形螺纹 n
锯齿形螺纹 n
梯形螺纹 n
圆锥螺纹 n
圆柱螺纹 n
矩形螺纹 n
梯形螺纹 n
轴向距离 nr
符合 nr
标准 nr
规定 nr
特殊螺纹 n
非标准螺纹 n
标准螺纹 n
普通螺纹 n
多线螺纹 n
单线螺纹 n
公称直径 n
最小直径 n
最大直径 n
中径 n
截面形状 nr
右旋螺纹 n
左旋螺纹 n
螺纹联接 nr
螺旋传动 br
联接设计 br
等边三角形 nr
传动螺纹 n
英制螺纹 n
公制螺纹 n
管螺纹 n
粗牙螺纹 n
细牙螺纹 n
径向间隙 nr
应力集中 nr
圆柱管螺纹 n
圆锥管螺纹 n
英制细牙螺纹 n
等腰梯形 nr
传动效率 nr
普通圆柱螺纹 n
最小直径 nr
圆柱面直径 nr
螺纹轴线 n
螺纹牙型 n
牙侧角 n
螺旋副 n
接触高度 nr
类型 nr
结构 nr
问题 nr
种类 nr
强度 nr
结构设计 nr
特点 nr
分类 n
方法 nr
分类法 nr
圆柱体 nr
表面 nr
计量单位 nr
旋 nr
头数 nr
图 nr
三角形 nr
处 nr
圆角 nr
牙细 nr
等腰三角形 nr
角 nr
紧密性 nr
管子 nr
内径 n
水 nr
煤气 nr
电缆 nr
管路 nr
系统 nr
圆锥 nr
管壁 nr
利用自身 nr
变形 n
填料 nr
高温 n
高压 n
密封性 nr
系统 nr
屈服强度 n
矩形螺旋副 n
螺旋副 n
精载荷 n
螺栓联接 n
螺钉联接 n
双头螺柱 n
预紧力 n
放松能力 n
过载 n
碳素钢螺栓 n
合金钢螺栓 n
屈服极限 n
摩擦力矩 n
测力矩扳手 n
定力矩扳手 n
拧紧力矩 n
风扳机 n
弹簧垫圈 n
对顶螺母 n
双联止动垫圈 n
单个螺栓连接 n
螺栓组连接 n
挤压强度 n
剪切强度 n
非工作面 n
工作面 n
9-5 nr
3° nr
30° nr
不等腰梯形 nr
牙型 n
