下料 vn
单轴
多轴 n
多刀半自动车床 n
三角形螺纹 n
圆柱螺纹 n
三角螺纹 n
圆弧形螺纹 n
锯齿形螺纹 n
梯形螺纹 n
圆锥螺纹 n
矩形螺纹 n
梯形螺纹 n
轴向距离 nr
联接螺纹 n
符合 nr
标准 nr
规定 nr
特殊螺纹 n
非标准螺纹 n
标准螺纹 n
普通螺纹 n
多线螺纹 n
单线螺纹 n
公称直径 nr
最小直接 nr
截面形状 nr
右旋螺纹 n
左旋螺纹 n
螺纹联接 nr
螺旋传动 br
联接设计 br
等边三角形 nr
传动螺纹 n
英制螺纹 n
公制螺纹 n
管螺纹 n
粗牙螺纹 n
细牙螺纹 n
径向间隙 nr
应力集中 nr
圆柱管螺纹 n
圆锥管螺纹 n
英制细牙螺纹 n
等腰梯形 nr
传动效率 nr
普通圆柱螺纹 n
最小直径 nr
圆柱面直径 nr
螺纹轴线 n
螺纹牙型 n
牙侧角 n
螺旋副 n
接触高度 nr
类型 nr
结构 nr
问题 nr
种类 nr
强度 nr
结构设计 nr
特点 nr
分类 nr
方法 nr
分类法 nr
圆柱体 nr
表面 nr
计量单位 nr
旋 nr
头数 nr
图 nr
三角形 nr
处 nr
圆角 nr
牙细 nr
等腰三角形 nr
角 nr
紧密性 nr
管子 nr
内径 n
水 nr
煤气 nr
电缆 nr
管路 nr
系统 nr
圆锥 nr
管壁 nr
利用自身 nr
变形 nr
填料 nr
高温 nr
高压 nr
密封性 nr
系统 nr
屈服强度 n
矩形螺旋副 n
螺旋副 n
精载荷 n
螺栓联接 n
螺钉联接 n
双头螺柱 n
预紧力 n
放松能力 n
过载 n
碳素钢螺栓 n
合金钢螺栓 n
屈服极限 n
摩擦力矩 n
测力矩扳手 n
定力矩扳手 n
拧紧力矩 n
风扳机 n
弹簧垫圈 n
对顶螺母 n
双联止动垫圈 n
单个螺栓连接 n
螺栓组连接 n
挤压强度 n
剪切强度 n
旋向 nr
牙型角 n
非工作面 nr
径向高度 n
轴向载荷 n
水平推力 n
摩擦因数 n
法向反力 n
旋转螺母 n
螺旋副 n
矩形螺旋副 n
螺纹升角 n
非矩形螺纹 n
等速旋转 nr
匀速向上运动 n
自锁条件 nr
基本类型 nr
静载荷 n
螺纹孔 n
双头螺柱联接方式 n
螺纹磨损 n
联接精度 n
联接类型 n
松联接 n
紧联接 n
放松能力 n
结构型式 n
最大许用值 n
螺母断面 n
附加压力 n
工作载荷 n
对顶作用 n
旋合螺纹 n
放松效果 n
非圆形收口 n
开缝后径向收口 n
六角开槽螺母 n
自锁螺母 n
被联接件 n
双联锁 n
止动垫圈 n
螺栓组联接 n
串联铁丝 n
放松方法 n
螺钉组 n
串联钢丝 n
单个螺栓 n
单个螺栓联接 n
轴向工作载荷 n
强度条件 n
螺栓危险截面 n
强度计算 n
拉应力 n
扭转应力 n
钢制螺栓 n
计算应力 n
第四强度理论 n
强度条件 n
受力形式 n
总拉力 n
弹性变形 n
工作拉力 n
弹性变形 n
残余预紧力 n
压缩量 n
总拉伸载荷 n
工作载荷 n
伸长量 n
总的伸长量 n
压缩量 n
总压缩量 n
总伸长量 n
总的压缩量 n
结合面 n
受力变形线图 n
几何关系 n
相对刚度 n
结构尺寸 n
垫片材料 n
金属垫片 n
无垫片 n
皮革垫片 n
铜皮 n
石棉垫片 n
胶垫片 n
螺栓危险截面 n
拉伸强度条件 n
干燥加工面 n
横向工作载荷 n
相对滑动 n
横向载荷 n
摩擦面数 n
弹性范围 n
剪切刚度 n
拉伸刚度 n
螺栓轴向 n
螺栓组 n
螺栓杆 n
挤压力 n
横向总载荷 n
铰制孔螺栓联接 n
普通螺栓联接 n
联接预紧 n
最大摩擦力 n
螺栓数目 n
平衡条件 n
铰制孔用螺栓联接 n
螺栓组联接 n
预紧程度 n
螺栓中心 n
螺栓数目 n
防滑系数 n
翻转力矩 n
轴向翻转 n
轴向反力 n
静力平衡 n
应力副 n
制造工艺 n
环槽螺母 n
过渡圆角 n
卸载槽 n
冷镦 v
螺栓头部 n
冷作硬化 n
残余应力 n
变螺旋运动 n
传动方式 n
传力螺旋 n
传导螺旋 n
调整螺旋 n
相对位置 n
测试装置 n
微调机构 n
失效形式 n
耐磨性条件 n
载荷大小 n
表面状况 n
滑动速度 n
润滑情况 n
校核公式 n
轴向压力 n
螺纹中径 n
螺纹圈数 n
许用压强 n
配对材料 n
淬火钢 n
人力驱动 n
精密传动 n
引用系数 n
整体螺母 n
工作圈数 n
强度校核公司和 n
阻力矩 n
稳定性校核 n
临界载荷 n
螺杆长细比 n
长度系数 n
端部结构 n
两端铰支 n
螺杆危险截面 n
惯性半径 n
危险截面 n
欧拉公式 n
稳定性校核 n
螺纹牙强度 n
螺纹牙根 n
校核公式 n
弯曲强度校核公式 n
铸铁螺母 n
青铜螺母 n
高强度镀青铜 n
优质碳素钢 n
防锈铝 n
低合金钢 n
低碳钢 n
型面联接 n
键联接 n
销联接 n
适用场合 n
轴向固定 n
平键联接 n
半圆键联接 n
楔键联接 n
切向键联接 n
应用特点 n
两侧面 n
传递扭矩 vn
上表面 n
键槽底面 n
装拆方便 vn
对中性 n
轴向力 n
普通平键 n
薄型平键 n
静联接 n
导向平键 n
动联接 n
单圆头 n
端铣刀 n
盘铣刀 n
轴端联接 n
薄型结构 n
空心轴 n
径向尺寸 n
紧定螺钉 n
间隙配合 n
起键螺孔 n
轴向滑移量 n
轻载联接 n
双向转矩 n
单方向轴向力 n
半圆键 n
毂槽底面 n
钩头楔键 n
普通楔键 n
切向键联接 n
强度校核 n
具体尺寸 n
标准手册 n
平键联接强度 n
工作面 n
普通平键联接 n
导向平键联接 n
滑键联接 n
轮毂键槽 n
工作长度 n
许用挤压应力 n
许用压强 n
矩形花键 n
花键联接 n
渐开线花键 n
平行平面 n
定心精度 n
定心性 n
齿形定心 n
结构特点 n
使用要求 n
工作条件 n
花键类型 n
过度磨损 n
载荷分配不均系数 n
齿数 n
工作高度 n
倒角尺寸 n
内花键 n
外花键 n
平均直径 n
分度圆 n
圆柱销 n
圆锥销 n
过盈配合 n
自锁性能 n
槽销 n
开口销 n
型面联接 n
非圆截面 n
柱面体 n
锥面体 n
无键联接 n
非圆形孔 n
家用机械 n
办公机械 n
注塑零件 n
带切口圆形 n
正六边形型面 n
轴毂联接 n
可拆联接 n
工艺要求 n
不可拆联接 n
铆钉联接 n
搭接缝 n
单盖板对接缝 n
双盖板对接缝 n
铆缝性能 n
基本要求 n
强固铆缝 n
飞机蒙皮 n
其中设备 n
强密铆缝 n
压缩空气存储器 n
高压容器 n
紧密铆缝 n
典型铆缝 n
铆钉头 n
横向力 n
铆钉杆 n
较薄者 n
钉孔直径 n
铆钉数目 n
铆钉直径 n
许用拉应力 n
许用切应力 n
静载许用应力 n
载荷应力 n
熔化焊 n
电渣焊 n
压力焊 n
摩擦焊 n
钎焊 n
电弧焊 n
对接接头 n
焊接接头 n
搭接接头 n
正交接头 n
对接焊缝 n
拉应力 n
压应力 n
焊缝的长度 n
焊缝抗拉 n
抗压许用应力 n
许用应力 n
降低因数 n
焊条型号 n
许用压应力 n
角焊缝 n
搭接焊缝 n
熔敷金属 n
最低抗拉强度 n
单向焊接 n
角钢构件表 n
变载荷 n
许用应力 n
焊缝型式 n
端焊缝 n
侧焊缝 n
填角焊缝 n
切应力 n
黏结剂 n
石油化工行业 n
无机黏结剂 n
有机黏结剂 n
无机氧化铜-磷酸胶 n
高分子材料 n
耐热性 n
耐介质性 n
耐老化性 n
固化条件 n
保持时间 n
涂布性 n
有效储存期 n
特殊性能 n
固化情况 n
胶层厚度 n
载荷性质 n
环境温度 n
工作时间 n
